stimulus_id,word_position,word,word_clean,length,length_prev,length_prevprev,frequency,frequency_prev,frequency_prevprev,total_fixation_duration,skip_rate,surprisal_first3chars,surprisal_word,surprisal_word_prev,surprisal_word_prevprev
1,0,CNN,cnn,3.0,0.0,0.0,4.28,0.0,0.0,288.8125,0.0,8.930352473414084,9.361813321630011,0.0,0.0
1,1,wants,wants,5.0,3.0,0.0,5.24,4.28,0.0,512.375,0.21875,6.323332694474299,6.812131516276661,9.361813321630011,0.0
1,2,to,to,2.0,5.0,3.0,7.43,5.24,4.28,138.21875,0.78125,0.4556199988017759,0.4556199988017759,6.812131516276661,9.361813321630011
1,3,change,change,6.0,2.0,5.0,5.54,7.43,5.24,381.78125,0.0625,3.9826069099240407,4.222057400901733,0.4556199988017759,6.812131516276661
1,4,its,its,3.0,6.0,2.0,6.14,5.54,7.43,148.53125,0.625,2.346851360581681,2.3539749747554097,4.222057400901733,0.4556199988017759
1,5,viewers',viewers',8.0,3.0,6.0,4.22,6.14,5.54,637.0,0.03125,5.548002031722881,8.328008422796845,2.3539749747554097,4.222057400901733
1,6,habits.,habits,6.0,8.0,3.0,4.21,4.22,6.14,416.0625,0.28125,3.323878819208108,5.311567980155214,8.328008422796845,2.3539749747554097
2,0,Until,until,5.0,0.0,0.0,5.61,0.0,0.0,273.5625,0.03125,8.52795095440485,8.89293520815027,0.0,0.0
2,1,"now,",now,3.0,5.0,0.0,6.18,5.61,0.0,228.71875,0.46875,1.829558923138677,2.217825343411704,8.89293520815027,0.0
2,2,CNN,cnn,3.0,3.0,5.0,4.28,6.18,5.61,183.78125,0.375,8.155474970581928,8.347688383444591,2.217825343411704,8.89293520815027
2,3,has,has,3.0,3.0,3.0,6.37,4.28,6.18,182.53125,0.4375,0.6998238404898949,0.7284082551436128,8.347688383444591,2.217825343411704
2,4,featured,featured,8.0,3.0,3.0,4.44,6.37,4.28,365.6875,0.03125,6.395768619100306,6.442031473676185,0.7284082551436128,8.347688383444591
2,5,its,its,3.0,8.0,3.0,6.14,4.44,6.37,94.8125,0.65625,4.422416282954213,4.484857771234385,6.442031473676185,0.7284082551436128
2,6,Hollywood,hollywood,9.0,3.0,8.0,4.52,6.14,4.44,284.78125,0.0625,9.050648502840763,9.882591469266949,4.484857771234385,6.442031473676185
2,7,gossip,gossip,6.0,9.0,3.0,3.88,4.52,6.14,273.3125,0.125,5.024157170342754,5.119626741347098,9.882591469266949,4.484857771234385
2,8,show,show,4.0,6.0,9.0,5.68,3.88,4.52,271.78125,0.21875,2.7176387080902416,3.263604554800928,5.119626741347098,9.882591469266949
2,9,during,during,6.0,4.0,6.0,5.72,5.68,3.88,307.375,0.3125,6.687407260740571,6.689339500530302,3.263604554800928,5.119626741347098
2,10,the,the,3.0,6.0,4.0,7.73,5.72,5.68,127.6875,0.59375,1.5479148882558178,1.6075372284132854,6.689339500530302,3.263604554800928
2,11,key,key,3.0,3.0,6.0,5.12,7.73,5.72,209.4375,0.65625,8.530153157269979,8.802710230398958,1.6075372284132854,6.689339500530302
2,12,evening,evening,7.0,3.0,3.0,4.86,5.12,7.73,441.71875,0.03125,5.38497239354885,7.364909732899818,8.802710230398958,1.6075372284132854
2,13,period.,period,6.0,7.0,3.0,5.21,4.86,5.12,92.46875,0.59375,5.519639371802427,8.649743588746631,7.364909732899818,8.802710230398958
3,0,Some,some,4.0,0.0,0.0,6.2,0.0,0.0,304.75,0.0,6.449583440772301,6.940463415282197,0.0,0.0
3,1,in,in,2.0,4.0,0.0,7.27,6.2,0.0,188.28125,0.6875,6.0851231292006345,6.0851231292006345,6.940463415282197,0.0
3,2,the,the,3.0,2.0,4.0,7.73,7.27,6.2,115.53125,0.6875,0.6818178282126919,0.6998597487792004,6.0851231292006345,6.940463415282197
3,3,industry,industry,8.0,3.0,2.0,5.19,7.73,7.27,312.78125,0.0625,3.327776003700013,3.3951336204549563,0.6998597487792004,6.0851231292006345
3,4,are,are,3.0,8.0,3.0,6.74,5.19,7.73,270.9375,0.34375,1.8932442936055125,1.90811712918266,3.3951336204549563,0.6998597487792004
